TSLA_Share_Price
243.256666
245.036666
251.993333
272.013333
293.34
270.396666
283.146666
284.803333
281.666666
275.386666
281.516666
283.483333
281.663333
282.213333
293.6
294.363333
288.053333
278.476666
264.51
279.936666
290.93
284.896666
283.33
284.076666
287.806666
283.153333
268.273333
270.553333
272.04
265.406666
266.05
262.46
260.433333
238.166666
232.946666
247.34
227.406666
225.166666
239.476666
228.813333
217.733333
207.146666
199.316666
187.666666
224.526666
222.686666
233.2
231.243333
235.98
225.626666
233.936666
217.72
218.29
223.333333
220.72
210.09
213.463333
206.236666
203.763333
211.873333
222.643333
220.583333
230.35
230.54
223.656666
227.933333
225.673333
233.993333
254.106666
244.076666
246.283333
246.593333
238.21
239.663333
248.04
239.896666
243.133333
246.066666
234.913333
231.466666
225.666666
236.48
228.3
224.533333
223.646666
221.18
224.123333
209.68
205.733333
196.63
190.563333
196.58
192.276666
192.623333
187.82
195.593333
193.626666
202.146666
201.563333
206.376666
210.283333
208.406666
207.966666
201.706666
190.946666
199.683333
201.71
201.196666
199.593333
203.373333
203.296666
205.896666
199.786666
201.623333
205.533333
207.77
206.943333
207.903333
218.856666
226.606666
223.956666
229.573333
226.92
226.566666
225.973333
226.3
219.86
214.883333
217.603333
218.983333
228.566666
222.846666
217.793333
216.866666
214.74
215.406666
220.166666
218.43
216.42
214.46
219.206666
214.926666
215.66
225.783333
229.066666
236.556666
236.58
236.973333
238.21
233.033333
237.92
236.663333
235.94
240.75
239.056666
228.723333
221.903333
229.663333
224.49
226.753333
235.433333
236.163333
237.066666
233.72
237.306666
243.636666
245.24
244.696666
244.13
244.523333
250.973333
251.29
251.62
245.423333
247.666666
248.163333
251.943333
252.33
253.163333
243.39
246.46
250.646666
251.213333
258.13
263.786666
259.186666
260.436666
258.493333
258.406666
260.51
260.196666
260.916666
264.536666
261.83
263.98
268.573333
270.36
272.773333
281.01
290.036666
288.09
288.6
298.0
303.226666
341.62
339.476666
345.953333
359.013333
371.333333
402.863333
390.666666
404.62
409.97
407.363333
387.646666
341.166666
355.983333
354.503333
344.473333
337.796666
351.576666
363.003333
365.46
379.02
385.623333
369.676666
372.0
360.64
378.996666
381.586666
365.0
361.533333
338.323333
336.336666
350.583333
356.32
334.6
339.01
322.136666
319.503333
325.33
308.973333
310.856666
299.98
312.843333
336.29
355.666666
364.646666
362.823333
362.063333
356.78
352.26
399.926666
383.196666
362.706666
354.9
342.32
352.706666
354.8
368.74
343.853333
349.87
343.503333
331.883333
332.09
314.633333
310.0
306.133333
312.47
276.366666
282.116666
312.24
310.416666
301.886666
297.046666
307.773333
302.446666
307.333333
310.666666
301.516666
286.666666
291.92
307.476666
307.796666
292.116666
285.66
273.843333
254.68
266.923333
269.956666
290.143333
288.123333
293.296666
279.763333
279.43
268.193333
274.8
286.323333
279.433333
265.116666
255.456666
267.296666
280.076666
290.533333
301.796666
307.053333
331.326666
333.036666
337.973333
336.88
363.946666
366.523333
364.663333
359.2
361.53
381.816666
363.753333
348.586666
352.42
341.83
325.31
328.983333
340.79
